,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,loudness,mode,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
84,0.591,0.848,9,0.0828,0.137,0.0,0.372,0.385,105.924,-4.396,0,246816,4,BTS,2020-02-21,ON (Feat. Sia),on
85,0.469,0.87,9,0.342,0.0278,0.0,0.313,0.652,86.622,-4.475,0,171023,4,BTS,2020-02-21,Intro : Persona,intro-persona
86,0.645,0.862,11,0.0965,0.0923,0.0,0.192,0.798,119.991,-4.757,0,229773,4,BTS,2020-02-21,Boy With Luv (Feat. Halsey),boy-with
87,0.638,0.703,7,0.444,0.0104,0.0,0.132,0.261,105.766,-7.874,1,226321,4,BTS,2020-02-21,Make It Right,make-it-right
88,0.608,0.47,8,0.0428,0.226,0.0,0.0963,0.241,81.0,-6.73,1,227275,4,BTS,2020-02-21,Jamais Vu,
89,0.502,0.91,7,0.107,0.04,0.0,0.319,0.588,176.084,-2.769,1,249215,4,BTS,2020-02-21,Dionysus,dionysus
90,0.385,0.798,9,0.483,0.115,0.0,0.181,0.141,149.756,-6.439,0,259821,4,BTS,2020-02-21,Interlude : Shadow,interlude-shadow
91,0.719,0.758,2,0.0851,0.137,0.0,0.129,0.49,147.023,-5.167,0,198261,4,BTS,2020-02-21,Black Swan,black-swan
92,0.781,0.762,10,0.0626,0.0222,0.0,0.121,0.86,110.042,-5.188,0,180221,4,BTS,2020-02-21,Filter,filter
93,0.674,0.64,0,0.0339,0.151,0.0,0.0925,0.664,99.908,-5.139,0,234458,4,BTS,2020-02-21,My Time,my-time
94,0.643,0.667,0,0.152,0.0433,0.0,0.0904,0.485,145.999,-6.993,0,217404,4,BTS,2020-02-21,Louder than bombs,louder-than-bombs
95,0.583,0.817,9,0.0987,0.118,0.0,0.338,0.438,105.936,-5.146,0,246381,4,BTS,2020-02-21,ON,on
96,0.72,0.824,10,0.128,0.0394,0.0,0.0509,0.333,165.998,-5.086,0,225012,4,BTS,2020-02-21,UGH!,
97,0.566,0.548,1,0.0579,0.0802,0.0,0.11,0.196,157.999,-6.456,1,250296,4,BTS,2020-02-21,00:00 (Zero O’Clock),
98,0.589,0.696,11,0.0725,0.017,0.0,0.0808,0.332,134.953,-7.981,1,233266,4,BTS,2020-02-21,Inner Child,inner-child
99,0.55,0.747,1,0.0407,0.0668,0.0,0.0536,0.648,79.98,-5.211,1,199339,4,BTS,2020-02-21,Friends,friends
100,0.703,0.646,6,0.0596,0.0104,0.0,0.191,0.64,141.87,-6.658,1,208590,4,BTS,2020-02-21,Moon,moon
101,0.661,0.84,0,0.116,0.00485,0.0,0.287,0.524,91.457,-4.805,1,237540,4,BTS,2020-02-21,Respect,respect
